busbreakdown_id,school_year,year,month,day_of_week,hour,time_band,season,is_weekend,operator,operator_id,boro,boro_id,run_type,reason,reason_id,school_age,students_on_bus,notified_schools,notified_parents,alerted_opt,delay_minutes,on_time,incident_type,is_breakdown,occurred_ts
2033229,2025-2026,2025,11,5,6,AM_Peak,Autumn,0,EMPIRE CHARTER SERVICE INC,8589934592,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,2,0,0,0,23.0,0,Running Late,0,2025-11-20 06:38:00
2094477,2025-2026,2026,6,3,5,OffPeak,Summer,0,PRIDE TRANSPORTATION,25769803777,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2026-06-16 05:30:00
2084724,2025-2026,2026,5,3,7,AM_Peak,Spring,0,ALLIED TRANSIT CORP,17179869186,Brooklyn,8589934592.0,General Ed AM Run,Heavy Traffic,51539607552.0,School-Age,3,1,1,0,23.0,0,Running Late,0,2026-05-12 07:00:00
2039971,2025-2026,2025,12,6,7,AM_Peak,Winter,0,HOYT TRANSPORTATION CORP,60129542145,Queens,51539607553.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,2,0,0,0,23.0,0,Running Late,0,2025-12-12 07:34:00
2064986,2025-2026,2026,3,2,6,AM_Peak,Spring,0,PRIDE TRANSPORTATION,25769803777,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2026-03-02 06:00:00
2024674,2025-2026,2025,10,6,5,OffPeak,Autumn,0,PRIDE TRANSPORTATION,25769803777,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2025-10-24 05:05:00
2074320,2025-2026,2026,3,3,5,OffPeak,Spring,0,PRIDE TRANSPORTATION,25769803777,Queens,51539607553.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2026-03-31 05:30:00
2037529,2025-2026,2025,12,6,7,AM_Peak,Winter,0,LOGAN BUS COMPANY INC,25769803779,Queens,51539607553.0,Special Ed AM Run,Other,25769803776.0,School-Age,0,0,0,0,38.0,0,Running Late,0,2025-12-05 07:34:00
2053404,2025-2026,2026,1,5,8,AM_Peak,Winter,0,NYC SCHOOL BUS UMBRELLA SERVICES,25769803778,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,4,0,0,0,38.0,0,Running Late,0,2026-01-29 08:03:00
2051184,2025-2026,2026,1,3,8,AM_Peak,Winter,0,"LORINDA ENTERPRISES, LTD",51539607555,Queens,51539607553.0,Special Ed AM Run,Other,25769803776.0,School-Age,0,0,0,0,38.0,0,Running Late,0,2026-01-27 08:39:00
2075771,2025-2026,2026,4,3,7,AM_Peak,Spring,0,HOYT TRANSPORTATION CORP,60129542145,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,7,1,1,0,0.0,1,Running Late,0,2026-04-14 07:43:00
2093690,2025-2026,2026,6,6,6,AM_Peak,Summer,0,L & M BUS CORP,34359738368,New Jersey,51539607554.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2026-06-12 06:00:00
2042567,2025-2026,2025,12,5,15,PM_Peak,Winter,0,PIONEER TRANSPORTATION CORP,25769803776,Staten Island,34359738368.0,General Ed PM Run,Heavy Traffic,51539607552.0,School-Age,0,1,0,0,38.0,0,Running Late,0,2025-12-18 15:32:00
2015443,2025-2026,2025,9,5,7,AM_Peak,Autumn,0,"G.V.C., LTD",2,Bronx,60129542144.0,Pre-K/EI,Heavy Traffic,51539607552.0,PreK,10,1,1,0,0.0,1,Running Late,0,2025-09-18 07:54:00
2040219,2025-2026,2025,12,6,14,PM_Peak,Winter,0,LEESEL TRANSPORTATION CORP,42949672960,Manhattan,42949672960.0,Special Ed PM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,38.0,0,Running Late,0,2025-12-12 14:53:00
2069997,2025-2026,2026,3,2,7,AM_Peak,Spring,0,PRIDE TRANSPORTATION,25769803777,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2026-03-16 07:00:00
2071752,2025-2026,2026,3,2,6,AM_Peak,Spring,0,PIONEER TRANSPORTATION CORP,25769803776,Staten Island,34359738368.0,General Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,0,0,38.0,0,Running Late,0,2026-03-23 06:49:00
2018820,2025-2026,2025,10,4,7,AM_Peak,Autumn,0,LEESEL TRANSPORTATION CORP,42949672960,Nassau County,51539607552.0,Special Ed AM Run,Problem Run,25769803777.0,School-Age,0,0,0,0,23.0,0,Running Late,0,2025-10-01 07:00:00
2094069,2025-2026,2026,6,6,14,PM_Peak,Summer,0,"BORO TRANSIT, INC",51539607553,Bronx,60129542144.0,Special Ed PM Run,Other,25769803776.0,School-Age,0,1,0,0,38.0,0,Running Late,0,2026-06-12 14:24:00
2077166,2025-2026,2026,4,6,7,AM_Peak,Spring,0,LEESEL TRANSPORTATION CORP,42949672960,Manhattan,42949672960.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,0,0,0,23.0,0,Running Late,0,2026-04-17 07:30:00
2025246,2025-2026,2025,10,2,6,AM_Peak,Autumn,0,VAN TRANS LLC,8589934594,Bronx,60129542144.0,Special Ed AM Run,Problem Run,25769803777.0,School-Age,0,1,1,0,0.0,1,Running Late,0,2025-10-27 06:01:00
2011780,2025-2026,2025,9,2,7,AM_Peak,Autumn,0,PIONEER TRANSPORTATION CORP,25769803776,Bronx,60129542144.0,General Ed AM Run,Heavy Traffic,51539607552.0,School-Age,4,1,0,0,0.0,1,Running Late,0,2025-09-08 07:49:00
2039168,2025-2026,2025,12,4,13,Midday,Winter,0,LEESEL TRANSPORTATION CORP,42949672960,Manhattan,42949672960.0,Special Ed PM Run,Problem Run,25769803777.0,School-Age,0,1,1,0,53.0,0,Running Late,0,2025-12-10 13:39:00
2070555,2025-2026,2026,3,3,7,AM_Peak,Spring,0,LITTLE RICHIE BUS SERVICE,34359738371,Queens,51539607553.0,Special Ed AM Run,Other,25769803776.0,School-Age,0,1,1,0,53.0,0,Running Late,0,2026-03-17 07:45:00
2089230,2025-2026,2026,5,3,6,AM_Peak,Spring,0,CAREFUL BUS,17179869187,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,1,0,0,0,23.0,0,Running Late,0,2026-05-26 06:16:00
2054164,2025-2026,2026,1,6,7,AM_Peak,Winter,0,LEESEL TRANSPORTATION CORP,42949672960,Bronx,60129542144.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,0,0,0,23.0,0,Running Late,0,2026-01-30 07:00:00
2075329,2025-2026,2026,4,2,7,AM_Peak,Spring,0,LOGAN BUS COMPANY INC,25769803779,Brooklyn,8589934592.0,General Ed AM Run,Other,25769803776.0,School-Age,0,0,0,0,53.0,0,Running Late,0,2026-04-13 07:50:00
2022465,2025-2026,2025,10,5,6,AM_Peak,Autumn,0,ALL AMERICAN SCHOOL BUS CORP,8589934593,Bronx,60129542144.0,Special Ed AM Run,Mechanical Problem,34359738368.0,School-Age,0,1,1,1,,0,Breakdown,1,2025-10-16 06:39:00
2077829,2025-2026,2026,4,2,14,PM_Peak,Spring,0,LEESEL TRANSPORTATION CORP,42949672960,Manhattan,42949672960.0,Special Ed PM Run,Other,25769803776.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2026-04-20 14:51:00
2061620,2025-2026,2026,2,6,8,AM_Peak,Winter,0,PRIDE TRANSPORTATION,25769803777,Queens,51539607553.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,7,1,1,0,75.5,0,Running Late,0,2026-02-13 08:00:00
2015071,2025-2026,2025,9,4,8,AM_Peak,Autumn,0,NYC SCHOOL BUS UMBRELLA SERVICES,25769803778,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,4,1,0,1,0.0,1,Running Late,0,2025-09-17 08:43:00
2096489,2025-2026,2026,6,6,6,AM_Peak,Summer,0,CAREFUL BUS,17179869187,Nassau County,51539607552.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,1,0,0,0,23.0,0,Running Late,0,2026-06-26 06:17:00
2056577,2025-2026,2026,2,4,7,AM_Peak,Winter,0,PHILLIPS BUS SERVICE,51539607554,Bronx,60129542144.0,Pre-K/EI,Heavy Traffic,51539607552.0,PreK,12,1,1,1,38.0,0,Running Late,0,2026-02-04 07:02:00
2084173,2025-2026,2026,5,2,6,AM_Peak,Spring,0,PRIDE TRANSPORTATION,25769803777,Queens,51539607553.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,1,1,0,75.5,0,Running Late,0,2026-05-11 06:15:00
2041538,2025-2026,2025,12,3,14,PM_Peak,Winter,0,L & M BUS CORP,34359738368,Brooklyn,8589934592.0,Pre-K/EI,Heavy Traffic,51539607552.0,PreK,0,1,1,0,23.0,0,Running Late,0,2025-12-16 14:00:00
2080170,2025-2026,2026,4,3,5,OffPeak,Spring,0,CAREFUL BUS,17179869187,Brooklyn,8589934592.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,1,0,0,0,23.0,0,Running Late,0,2026-04-28 05:43:00
916834,2009-2010,2010,3,6,6,AM_Peak,Spring,0,SMART PICK,42949672963,Brooklyn,8589934592.0,Pre-K/EI,,,PreK,10,1,1,1,30.0,0,Running Late,0,2010-03-26 06:30:00
2031743,2025-2026,2025,11,2,7,AM_Peak,Autumn,0,JOFAZ TRANSPORTATION INC,25769803780,Queens,51539607553.0,General Ed AM Run,Heavy Traffic,51539607552.0,School-Age,5,1,0,0,23.0,0,Running Late,0,2025-11-17 07:10:00
2092673,2025-2026,2026,6,3,7,AM_Peak,Summer,0,CAREFUL BUS,17179869187,Manhattan,42949672960.0,Special Ed AM Run,Heavy Traffic,51539607552.0,School-Age,0,0,0,0,23.0,0,Running Late,0,2026-06-09 07:15:00
2082984,2025-2026,2026,5,4,6,AM_Peak,Spring,0,PHILLIPS BUS SERVICE,51539607554,Bronx,60129542144.0,Pre-K/EI,Heavy Traffic,51539607552.0,PreK,3,1,1,1,53.0,0,Running Late,0,2026-05-06 06:55:00
